Ref,Val,Package,PosX,PosY,Rot,Side
"U14","ADS1247","TSSOP-20_4.4x6.5mm_P0.65mm",147.637638,-112.763323,180.000000,top
"U15","ADS1247","TSSOP-20_4.4x6.5mm_P0.65mm",106.616638,-112.763323,180.000000,top
"U16","AD8497","MSOP-8_3x3mm_P0.65mm",109.029638,-73.520323,0.000000,top
"U17","LMC6081","SOIC-8_3.9x4.9mm_P1.27mm",113.547638,-79.218323,-90.000000,top
"U18","LP2950-3.3_TO92","TO-92_Inline",111.082638,-84.823323,-90.000000,top
"U19","LMC6081","SOIC-8_3.9x4.9mm_P1.27mm",123.126638,-83.172323,0.000000,top
"U20","ADC121S021","SOT-23-6",106.749138,-78.771323,180.000000,top
"U21","TC4427","MSOP-8_3x3mm_P0.65mm_TI",176.797638,-85.949323,90.000000,top
"U22","MAX31855","SO-8_Maxim",183.147638,-87.219323,90.000000,top
"U23","NUD3124","SOT-23-6",126.682638,-74.155323,0.000000,top
